1.18547E+17,SBI-Mumbai-Agarwal Nagar Nalasopra East,Lobby Camera 1,IVIS2797C1,SBI-MUMBAI,5/12/2019 10:39,Team Member,Vibration_ATM1,False Activity,0d 0h 0m 31s
1.18547E+17,BOB-MH-Thane-Kalyan W Niraj Park Khadakpada Onsite,Lobby,IVIS6713C1,BOB,5/12/2019 10:39,Team Member,Backdoor Sensor,False Activity,0d 0h 1m 6s
1.18547E+17,SBI-Mumbai-Aurangabad-SRPF Camp,Lobby Camera 1,IVIS3113C1,SBI-MUMBAI,5/12/2019 10:39,Team Member,Vibration_ATM1,False Activity,0d 0h 0m 29s
1.18547E+17,IDFC-BP-MH-Mumbai-Mulund,Entrance & Lobby,IVIS5542C8,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff on site,0d 0h 0m 22s
1.18547E+17,JSFB-PB-Bathinda-Rampura Phul,Lobby,IVIS10703C5,JFS,5/12/2019 10:39,Team Member,Camera Event,Guard / Staff on Site,0d 0h 0m 12s
1.18547E+17,JFS-KTK-Bangalore-K R Puram,Bank & Gold Teller,IVIS5474C2,JFS,5/12/2019 10:39,Manual Wall,Camera Event,No threat perceived,0d 0h 1m 12s
1.18547E+17,SBI-Lucknow-Varanasi-Jahanganj Branch,Lobby Camera 1,IVIS4017C1,SBI-Lucknow,5/12/2019 10:39,Team Member,Vibration_ATM1,False Activity,0d 0h 0m 13s
1.18547E+17,JFS-MH-Thane-Panchpakhdi,GL Desk,IVIS8290C4,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 12s
1.18547E+17,IDFC-BP-KTK-Sarjapur Road Bellandur Branch,ATM Lobby ,IVIS8341C1,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff on site,0d 0h 0m 28s
1.18547E+17,BOB-MH-Mum-Kandivali W Avirahi Arcade Offsite,Lobby,IVIS6314C1,BOB,5/12/2019 10:39,Team Member,Video Loss,False Activity,0d 0h 0m 34s
1.18547E+17,IDFC-BB-MP-Ratlam,Teller-2,IVIS5240C5,IDFC,5/12/2019 10:39,Manual Wall,Camera Event,Slow Site/Not Playing,0d 0h 0m 26s
1.18547E+17,JFS-MH-Nanded 2,Entrance & Lobby,IVIS8289C2,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 19s
1.18547E+17,IDFC-BP-TN-Chennai-Alwarpet,Entrance & ATM Lobby,IVIS5731C6,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff On Site,0d 0h 0m 19s
1.18547E+17,ICICI-Guntur-Lakshmi Puram,Branch Lobby-1,IVISIB01C14,ICICI-POC,5/12/2019 10:39,Team Member,Camera Event,ATM Transaction,0d 0h 1m 34s
1.18547E+17,JFS-MH-Aurangabad-Barshi,Entranec & Lobby,IVIS8297C3,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 13s
1.18547E+17,SBI-HYD-Civil Court Chetta Bazar,Lobby Camera 1,IVIS2472C1,SBI-HYD,5/12/2019 10:39,Team Member,Plastic_ATM2_Door,False Activity,0d 0h 0m 29s
1.18547E+17,IDFC-BP-MH-Mumbai-Bandra West-30th Road,Entrance & Lobby,IVIS8338C2,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff on site,0d 0h 0m 35s
1.18547E+17,JFS-TN-Salem-Perundurai,Camera6,IVIS5533C6,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 25s
1.18547E+17,JFS-GJ-Ahmedabad-Nadiad,Bank Teller & Bank Vault,IVIS7121C3,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 25s
1.18547E+17,BOB-KL-Palghat-Chittur Thathamangalam Offsite,Backroom,IVIS10641C3,BOB,5/12/2019 10:39,Team Member,Digitall Removal Sensor  ,False Activity,0d 0h 0m 22s
1.18547E+17,SBI-HYD-Civil Court Chetta Bazar,Lobby Camera 1,IVIS2472C1,SBI-HYD,5/12/2019 10:39,Team Member,Metal_UPS,False Activity,0d 0h 0m 18s
1.18547E+17,JFS-GJ-Ahmedabad-Nadiad,GL Desk,IVIS7121C4,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 13s
1.18547E+17,TSI-AB-Hyderabad-KPHB Colony 9th Phase,Lobby Camera 1,IVIS2813C1,TSI-AB,5/12/2019 10:39,Team Member,Vibration_ATM1,ATM Transaction,0d 0h 0m 30s
1.18547E+17,SBI-AHMD Khanpur Post Office,Lobby Camera 2,IVIS2284C2,SBI-AHD,5/12/2019 10:39,Team Member,Vibration_Front_glass,ATM Transaction,0d 0h 0m 24s
1.18547E+17,BOB-RJ-Jaipur-Triveni Nagar Gopalpura School Offsite,Lobby,IVIS6770C1,BOB,5/12/2019 10:39,Team Member,PIR Sensor,False Activity,0d 0h 0m 43s
1.18547E+17,SBI-Amaravati-Ongole-Court Circle,Lobby Camera 2,IVIS1575C2,SBI-Amaravati,5/12/2019 10:39,Team Member,Vibration_Front_glass,False Activity,0d 0h 0m 17s
1.18547E+17,SBI-Lucknow-Moradabad-Chander Nagar Colony,Lobby,IVIS10076C1,SBI-Lucknow,5/12/2019 10:39,Team Member,Loitering,Guard/Staff On Site,0d 0h 1m 37s
1.18547E+17,JFS-WB-Kolkata-Kadamtala,Bank Lobby,IVIS5580C4,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 32s
1.18547E+17,JFS-TN-Madurai-Nagercoil,Entrance & Lobby,IVIS8277C3,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 14s
1.18547E+17,SBI-Lucknow-Kanpur-10 No Canteen,Lobby,IVIS10118C1,SBI-Lucknow,5/12/2019 10:39,Team Member,Crowd,ATM Transaction,0d 0h 1m 40s
1.18547E+17,SBI-Lucknow-Moradabad-KGK Homeo Medical,Lobby,IVIS10010C1,SBI-Lucknow,5/12/2019 10:39,Team Member,Loitering,Guard/Staff On Site,0d 0h 1m 39s
1.18547E+17,JFS-CG-Raigarh-Dhimrapur Road,Shutter/ATM Lobby,IVIS5545C4,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 13s
1.18547E+17,SBI-Lucknow-Kanpur-Hind Vihar Barra,Lobby,IVIS10127C1,SBI-Lucknow,5/12/2019 10:39,Team Member,Loitering,ATM Transaction,0d 0h 1m 37s
1.18547E+17,BOB-RJ-Tonk-Deoli Kota Rd Onsite,Lobby,IVIS7919C1,BOB,5/12/2019 10:39,Team Member,Glass Break Sensor,ATM Transaction,0d 0h 0m 41s
1.18547E+17,JFS-TN-Trichy-Chengalpattu,Entrance,IVIS5593C2,JFS,5/12/2019 10:39,Team Member,Camera Event,Guard / Staff on Site,0d 0h 0m 36s
1.18547E+17,SBI-Chennai-Thavittu Santhi Madurai,Lobby,IVIS1536C1,SBI-CHE,5/12/2019 10:39,Team Member,Vibration_Front_glass,ATM Transaction,0d 0h 0m 19s
1.18547E+17,JFS-MP-Bhopal-Pipariya,ATM Lobby,IVIS5528C8,JFS,5/12/2019 10:39,Team Member,Camera Event,Guard / Staff on Site,0d 0h 0m 20s
1.18547E+17,SBI-Lucknow-Bareilly-Kishore Bazar,Lobby,IVIS10067C1,SBI-Lucknow,5/12/2019 10:39,Team Member,Loitering,ATM Transaction,0d 0h 1m 36s
1.18547E+17,JSFB-PB-Bathinda-Rampura Phul,Entrance & Lobby,IVIS10703C1,JFS,5/12/2019 10:39,Manual Wall,Camera Event,Staff on site,0d 0h 0m 27s
1.18547E+17,SBI-Lucknow-Odean Cinema Cantt,Lobby,IVIS10098C1,SBI-Lucknow,5/12/2019 10:38,Team Member,Helmet,ATM Transaction,0d 0h 1m 37s
1.18547E+17,ICICI-Guntur-Lakshmi Puram,Branch Entrance,IVISIB01C11,ICICI-POC,5/12/2019 10:38,Team Member,Camera Event,False Activity,0d 0h 1m 47s
1.18547E+17,SBI-Lucknow-Moti Nagar Charbagh,Lobby Camera 1,IVIS5003C1,SBI-Lucknow,5/12/2019 10:38,Team Member,Plastic_Chequee_box,Camera Disconnect,0d 0h 0m 23s
1.18547E+17,JFS-MH-Mumbai-Virar,GL Desk,IVIS5519C4,JFS,5/12/2019 10:38,Team Member,Camera Event,False Activity,0d 0h 0m 15s
1.18547E+17,SBI-Lucknow-Narhi Seth Ramjas Rd,Lobby,IVIS10065C1,SBI-Lucknow,5/12/2019 10:38,Team Member,Crowd,ATM Transaction,0d 0h 1m 38s
1.18547E+17,IDFC-BB-RJ-Ugariyawas,Teller,IVIS5234C3,IDFC,5/12/2019 10:38,Team Member,Camera Event,False Activity,0d 0h 0m 14s
1.18547E+17,JSFB-MP-Bhopal-Sonagiri Sec-A,GL Desk,IVIS10697C2,JFS,5/12/2019 10:38,Team Member,Camera Event,False Activity,0d 0h 0m 22s
1.18547E+17,SBI-Lucknow-Kanpur-Barra Sabji Mandi,Lobby,IVIS10102C1,SBI-Lucknow,5/12/2019 10:38,Team Member,Helmet,Guard/Staff On Site,0d 0h 1m 20s
1.18547E+17,SBI-Lucknow-Varanasi-Kabir Chauraha,Lobby,IVIS10158C1,SBI-Lucknow,5/12/2019 10:38,Team Member,Helmet,ATM Transaction,0d 0h 1m 25s
1.18547E+17,IDFC-BP-UP-Noida Sector-18,Entrance & ATM Lobby,IVIS6094C9,IDFC,5/12/2019 10:38,Team Member,Camera Event,Guard/Staff On Site,0d 0h 0m 21s
1.18547E+17,Central Bank ZO Bhopal-POC,Cam9,IVISC001C2,CBI-POC,5/12/2019 10:38,Team Member,Camera Event,False Activity,0d 0h 0m 20s
1.18547E+17,JFS-WB-Kolkata-Thakurpukur,Entrance,IVIS5607C5,JFS,5/12/2019 10:38,Team Member,Camera Event,False Activity,0d 0h 0m 25s
1.18547E+17,SBI-Lucknow-Safedabad,Lobby Camera 1,IVIS3107C1,SBI-Lucknow,5/12/2019 10:38,Team Member,Vibration_ATM1,ATM Transaction,0d 0h 0m 22s
1.18547E+17,JFS-WB-Singur,Entrance & Lobby,IVIS8314C3,JFS,5/12/2019 10:38,Team Member,Camera Event,False Activity,0d 0h 0m 31s
1.18547E+17,SBI-HYD-Jagtial New Bus Stand,Lobby Camera 1,IVIS3127C1,SBI-HYD,5/12/2019 10:38,Team Member,Vibration_ATM2,False Activity,0d 0h 0m 50s
1.18547E+17,SBI-HYD-Jagtial New Bus Stand,Lobby Camera 1,IVIS3127C1,SBI-HYD,5/12/2019 10:38,Team Member,Vibration_ATM1,False Activity,0d 0h 0m 13s
1.18547E+17,SBI-HYD-Jagtial New Bus Stand,Lobby Camera 1,IVIS3127C1,SBI-HYD,5/12/2019 10:38,Team Member,Vibration_ATM2,False Activity,0d 0h 0m 24s
1.18547E+17,SBI-Lucknow-Balaganj Chauraha,Lobby,IVIS10109C1,SBI-Lucknow,5/12/2019 10:38,Team Member,Helmet,ATM Transaction,0d 0h 1m 32s
